,state,"state, full name",population (2015),marketid,totalsales,logshare_oo,make,logshare,mmr,sellingprice,odometer,condition,year_2015,year_2014,year_2013,year_2012,year_2011,year_2010,year_2009,year_2008,year_2007,year_2006,year_2005,year_2004,year_2003,year_2002,year_2001,year_2000,year_1999,body_suv,body_sedan,body_convertible,body_coupe,body_wagon,body_hatchback,body_pickup,body_van,color_white,color_gray,color_black,color_red,color_silver,color_other_color,color_blue,color_gold,color_green,interior_black,interior_beige,interior_tan,interior_other_interior,interior_gray
346,pa,Pennsylvania (US),12802503.0,45,16,-1.2497563951640042e-06,hyundai,-10.9669873053739,12260.407239819004,11829.864253393665,34421.25339366516,33.68325791855204,0.0,0.02262443438914027,0.21266968325791855,0.5656108597285068,0.13122171945701358,0.013574660633484163,0.01809954751131222,0.004524886877828055,0.00904977375565611,0.0,0.0,0.00904977375565611,0.004524886877828055,0.0,0.004524886877828055,0.004524886877828055,0.0,0.06787330316742081,0.8144796380090498,0.0,0.03167420814479638,0.0,0.08597285067873303,0.0,0.0,0.11312217194570136,0.12669683257918551,0.24434389140271492,0.09954751131221719,0.23076923076923078,0.01809954751131222,0.1583710407239819,0.004524886877828055,0.004524886877828055,0.23529411764705882,0.167420814479638,0.10407239819004525,0.03167420814479638,0.46153846153846156
347,pa,Pennsylvania (US),12802503.0,45,16,-1.2497563951640042e-06,infiniti,-13.187096176543708,22257.291666666668,21731.25,56884.083333333336,37.833333333333336,0.0,0.08333333333333333,0.041666666666666664,0.20833333333333334,0.375,0.0,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.0,0.041666666666666664,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.375,0.5416666666666666,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,0.2916666666666667,0.25,0.125,0.0,0.20833333333333334,0.08333333333333333,0.041666666666666664,0.0,0.0,0.7916666666666666,0.125,0.0,0.0,0.08333333333333333
348,pa,Pennsylvania (US),12802503.0,45,16,-1.2497563951640042e-06,jeep,-12.047661893355343,17155.0,17014.0,57389.08,31.173333333333332,0.0,0.06666666666666667,0.09333333333333334,0.24,0.17333333333333334,0.06666666666666667,0.08,0.04,0.06666666666666667,0.04,0.04,0.04,0.013333333333333334,0.0,0.013333333333333334,0.013333333333333334,0.013333333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.2,0.26666666666666666,0.09333333333333334,0.13333333333333333,0.05333333333333334,0.013333333333333334,0.013333333333333334,0.09333333333333334,0.6133333333333333,0.06666666666666667,0.013333333333333334,0.02666666666666667,0.28
349,pa,Pennsylvania (US),12802503.0,45,16,-1.2497563951640042e-06,kia,-12.515002405181594,13400.0,13069.148936170213,36621.53191489362,35.57446808510638,0.0,0.0425531914893617,0.19148936170212766,0.5531914893617021,0.1276595744680851,0.0425531914893617,0.0,0.02127659574468085,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19148936170212766,0.6382978723404256,0.0,0.02127659574468085,0.1276595744680851,0.02127659574468085,0.0,0.0,0.1702127659574468,0.23404255319148937,0.2765957446808511,0.1276595744680851,0.0851063829787234,0.02127659574468085,0.0,0.0,0.0851063829787234,0.44680851063829785,0.1276595744680851,0.10638297872340426,0.0,0.3191489361702128
350,pa,Pennsylvania (US),12802503.0,45,16,-1.2497563951640042e-06,lexus,-12.676270552777718,25248.75,24698.75,62261.575,31.375,0.0,0.025,0.2,0.2,0.2,0.025,0.025,0.1,0.125,0.025,0.0,0.0,0.0,0.0,0.05,0.0,0.025,0.5,0.425,0.025,0.0,0.0,0.05,0.0,0.0,0.275,0.2,0.175,0.075,0.05,0.075,0.125,0.025,0.0,0.35,0.175,0.15,0.1,0.225
351,pa,Pennsylvania (US),12802503.0,45,16,-1.2497563951640042e-06,mercedes-benz,-12.061084913687484,24210.81081081081,23756.094594594593,60133.31081081081,32.189189189189186,0.0,0.13513513513513514,0.0945945945945946,0.1891891891891892,0.05405405405405406,0.10810810810810811,0.08108108108108109,0.08108108108108109,0.12162162162162163,0.08108108108108109,0.02702702702702703,0.013513513513513514,0.0,0.0,0.0,0.0,0.013513513513513514,0.25675675675675674,0.581081081081081,0.02702702702702703,0.08108108108108109,0.05405405405405406,0.0,0.0,0.0,0.22972972972972974,0.14864864864864866,0.3783783783783784,0.02702702702702703,0.16216216216216217,0.013513513513513514,0.02702702702702703,0.0,0.013513513513513514,0.581081081081081,0.1891891891891892,0.08108108108108109,0.04054054054054054,0.10810810810810811
352,pa,Pennsylvania (US),12802503.0,45,16,-1.2497563951640042e-06,nissan,-10.79299597471389,14526.330798479088,14091.444866920152,40268.62737642586,35.01520912547529,0.011406844106463879,0.057034220532319393,0.25475285171102663,0.26996197718631176,0.29277566539923955,0.019011406844106463,0.011406844106463879,0.011406844106463879,0.022813688212927757,0.011406844106463879,0.0076045627376425855,0.019011406844106463,0.0076045627376425855,0.0,0.0,0.0038022813688212928,0.0,0.3688212927756654,0.5703422053231939,0.0,0.026615969581749048,0.0,0.015209125475285171,0.015209125475285171,0.0038022813688212928,0.22433460076045628,0.17870722433460076,0.25475285171102663,0.049429657794676805,0.17490494296577946,0.04182509505703422,0.07224334600760456,0.0,0.0038022813688212928,0.7376425855513308,0.09505703422053231,0.034220532319391636,0.0076045627376425855,0.12547528517110265
353,pa,Pennsylvania (US),12802503.0,45,16,-1.2497563951640042e-06,other_make,-9.90838035131949,17249.097331240187,16956.90737833595,51911.24803767661,31.373626373626372,0.0,0.0706436420722135,0.11616954474097331,0.25588697017268447,0.24332810047095763,0.061224489795918366,0.04395604395604396,0.05180533751962323,0.04709576138147567,0.02040816326530612,0.02040816326530612,0.0141287284144427,0.012558869701726845,0.012558869701726845,0.009419152276295133,0.006279434850863423,0.0141287284144427,0.37676609105180536,0.41444270015698587,0.012558869701726845,0.02511773940345369,0.03610675039246468,0.059654631083202514,0.06750392464678179,0.007849293563579277,0.1554160125588697,0.13500784929356358,0.27629513343799056,0.07849293563579278,0.14756671899529042,0.06750392464678179,0.10361067503924647,0.01098901098901099,0.02511773940345369,0.5886970172684458,0.17111459968602827,0.058084772370486655,0.029827315541601257,0.152276295133438
354,pa,Pennsylvania (US),12802503.0,45,16,-1.2497563951640042e-06,toyota,-11.467310206940741,15416.231343283582,15418.283582089553,58059.5,31.47761194029851,0.0,0.05970149253731343,0.23134328358208955,0.1865671641791045,0.1417910447761194,0.08208955223880597,0.06716417910447761,0.022388059701492536,0.07462686567164178,0.05970149253731343,0.022388059701492536,0.014925373134328358,0.0,0.007462686567164179,0.007462686567164179,0.0,0.022388059701492536,0.3208955223880597,0.3805970149253731,0.0,0.007462686567164179,0.04477611940298507,0.08208955223880597,0.04477611940298507,0.11940298507462686,0.14925373134328357,0.13432835820895522,0.14925373134328357,0.08955223880597014,0.19402985074626866,0.05970149253731343,0.13432835820895522,0.029850746268656716,0.05970149253731343,0.21641791044776118,0.12686567164179105,0.05223880597014925,0.014925373134328358,0.5895522388059702
355,pa,Pennsylvania (US),12802503.0,45,16,-1.2497563951640042e-06,volkswagen,-12.701588360762006,8515.384615384615,8353.846153846154,73846.66666666667,29.05128205128205,0.0,0.0,0.1794871794871795,0.23076923076923078,0.10256410256410256,0.07692307692307693,0.05128205128205128,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.05128205128205128,0.0,0.0,0.07692307692307693,0.02564102564102564,0.5897435897435898,0.02564102564102564,0.0,0.10256410256410256,0.23076923076923078,0.0,0.02564102564102564,0.07692307692307693,0.07692307692307693,0.28205128205128205,0.02564102564102564,0.2564102564102564,0.02564102564102564,0.20512820512820512,0.0,0.05128205128205128,0.6410256410256411,0.07692307692307693,0.07692307692307693,0.0,0.20512820512820512
